Total Sentiment Score,Follower Count,Tweet
0.0,478,"RT @TweetsbyCoachP: Duncan Robinson played D3 prior to transferring to Michigan 

Duncan Robinson scored 34 tonight for the Miami Heat toni…"
0.08411,3179,@rgeiger24 @joelklatt @amandagrayou Kentucky last year averaged 16.8 PPG in conference. Scored 27 on Penn State and… https://t.co/w5MFbuFyJd
0.9451799999999999,21,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.9451799999999999,1273,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.28113,97573,RT @GaryParrishCBS: Here is Wednesday morning’s updated @CBSSports Top 25 And 1 daily college basketball rankings — with some words at the…
0.07125000000000009,1660,RT @SafetyPinDaily: Nestle's go at privatizing town water shot down by Michigan appeals court | By Ashley Curtin https://t.co/vYCECjiO1K
0.17223000000000002,639,@MKESZN You seem good.. Just not sure about Michigan and Yale.
0.45776,22,@oakman18 @WhitstableRocks It’s a Kennel in Michigan near Kalamazoo ...I will send his name tomorrow
0.0,245,"RT @TweetsbyCoachP: Duncan Robinson played D3 prior to transferring to Michigan 

Duncan Robinson scored 34 tonight for the Miami Heat toni…"
0.6026,528,RT @Darrell_Quijuan: Extremely Blessed to receive an offer from Western Michigan University 💪🏽‼️ #GoBroncos https://t.co/4l9g30BA8e
-0.010640000000000024,129,RT @WeThePeopleDet: Revealed: water company and city officials knew about Flint poison risk https://t.co/I0CHOGONcx
0,987,@nnpeoples97 @MuseMan82 @BeardsAndInk @MMAassault1 @Scotlandforfury @GiovaniBell2 @colbycalltheco1 @appo_jax… https://t.co/5r8BuEwqdG
0.9451799999999999,152,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
-0.0664,1523,"Mayor Pet*’s very 1st project at McKinsey was for an insurance company. 
His client was Blue across Blue Shield of Michigan."
0.0,46,"RT @sports_handle: MICHIGAN:

Votes are in:

- Legalizing Sports Betting (4916): Passes 35-3.
- Legalizing iGaming/Poker(4311): Passes 35-3…"
0.22859,349,"@WolverineCorner Michigan 71-63
Livers will have 14"
0.0,254,"RT @charliekirk11: New polls: 

Michigan: 

Trump - 46
Biden - 41

Pennsylvania: 

Trump - 46 
Biden - 41

Wisconsin: 

Trump - 48
Biden -…"
0,62,72-66 Michigan 18pts for Livers https://t.co/KnA5AoYBwE
0.0,3812,"RT @charliekirk11: New polls: 

Michigan: 

Trump - 46
Biden - 41

Pennsylvania: 

Trump - 46 
Biden - 41

Wisconsin: 

Trump - 48
Biden -…"
-0.29088,7,RT @nowthisnews: Michigan police were caught on camera violently arresting a man with a disability and laughing about it after https://t.co…
-0.004589999999999997,40,@MikayesFiona @marie_michigan @CNN The only time anyone references CNN is when they’re stuck in an airport or when… https://t.co/LxEtwDRcHS
1.02943,1648,RT @Wil__Hunter: MSU's football staff was the third-highest paid group in the Big Ten this year. Lots of interesting nuggets in this about…
-0.11565,31060,"RT @JustClaudia3: PENNSYLVANIA

WISCONSIN

MICHIGAN
 
OHIO

FLORIDA

All critical states we need to FLIP BLUE!!
#DemocracyActionForum"
0.81944,1484,"@PlagueJane although he's banned at my school, it doesn't transfer to michigan tournaments, which he's free to ente… https://t.co/ZPsx79e1sQ"
-0.29088,1790,RT @nowthisnews: Michigan police were caught on camera violently arresting a man with a disability and laughing about it after https://t.co…
0.169,282,RT @CurbedDetroit: Preposterous ideas from Detroit’s past decade that actually came true https://t.co/eVmLWVLGJb
-0.63659,125,"RT @nuclearkatie: A seawall collapsed recently, spilling uranium-contaminated waste into the Detroit River
https://t.co/FAwSgJkJyA"
0.09303,44,@brianlilley Just a hour ago Michigan legalized single game wagering. So guess where Ontario spirts bettors are headed !
0.9451799999999999,4513,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.07125000000000009,362,RT @SafetyPinDaily: Nestle's go at privatizing town water shot down by Michigan appeals court | By Ashley Curtin https://t.co/vYCECjiO1K
0.0,138,@WolverineCorner 86-71 Michigan livers with 17
0.46805,65,RT @RashidaTlaib: He doesn't win Michigan. #NotMeUs https://t.co/nu1bjT50tV
0.0,351,"RT @TweetsbyCoachP: Duncan Robinson played D3 prior to transferring to Michigan 

Duncan Robinson scored 34 tonight for the Miami Heat toni…"
0.71648,163,"RT @ABC: Christmas came early for two sisters in Michigan, who broke down in tears when they found a 10-week-old golden retriever in an ope…"
0,8,"RT @TheBuckeyeNut: CBS Sports College Basketball Poll (as of Wednesday, 12/11)

1. Ohio State 
2. Kansas
3. Michigan 
4. Gonzaga 
5. Louisv…"
0.10554,290,WATCH: Check out this crazy video of a Park District truck sliding on ice into Lake Michigan in Chicago… https://t.co/A1ZsQMSG8O
-0.007670000000000024,781,Illinois tips off against No. 5 Michigan in about 7 hours. The #Illini have dropped two games in a row including a… https://t.co/VTFwCqoVvs
0.0,390,"RT @TweetsbyCoachP: Duncan Robinson played D3 prior to transferring to Michigan 

Duncan Robinson scored 34 tonight for the Miami Heat toni…"
0.9451799999999999,3392,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.71648,372,"RT @ABC: Christmas came early for two sisters in Michigan, who broke down in tears when they found a 10-week-old golden retriever in an ope…"
0.02825,389,@BreonnaWashing3 He said fuck that pizza 🤣
0.38516999999999996,1105,@MrTuktoyaktuk I was way ahead due to the differences in scheduling/credits between high school in Iowa (freshman/s… https://t.co/5gg6eCf4Zi
0.97807,37,"@IngrahamAngle Slotkin will vote to impeach. She does not care about the will of her constituents, her loyalty is t… https://t.co/4FbsEnzQFY"
0.9451799999999999,4096,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.12622,7,"RT @marchmadness: Proving the doubters wrong. 💪

#KatzRankz - Most Surprising Teams, as heard on the #MM365 podcast!

1. Michigan
2. DePaul…"
-0.44234,392,RT @EricSchneider27: Suck my dick Michigan https://t.co/fLEL0hM3w7
0.8920399999999999,987,Illinois basketball searching for more success in closing out games ahead of matchup with No. 5 Michigan… https://t.co/0z2VjGpNZw
-0.20031,450,"RT @freep: Novi woman watches as dog is killed, dragged away by coyotes in backyard https://t.co/ZDQcgfjsKf"
0.82114,187,"@thomas4293 @Ab84Gm @AB84 Organization is proven to be cheaters! But, I'm a Michigan fan so..."
0.0,115,84-76 Michigan Livers 16 points https://t.co/KTDi9rz1q8
0.0,432,"RT @charliekirk11: New polls: 

Michigan: 

Trump - 46
Biden - 41

Pennsylvania: 

Trump - 46 
Biden - 41

Wisconsin: 

Trump - 48
Biden -…"
0.9451799999999999,5848,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0.21642,1884,"@kburton40 @wanderlustyogi Another Tulsi donor here. My family proves your theory wrong. There are Bernie @ 1st, Tr… https://t.co/nUvSJwU0HS"
1.43338,4233,"RT @America1stTiger: Here is all you need to know about #QuidProQuoJoe!

This is why he is now trailing President #Trump in the key swing s…"
-0.05729000000000001,872,RT @nickrmanes: Periodic reminder that Michigan has a preemptive law that bans local govts from enacting plastic bag bans https://t.co/4SIi…
0.27665,80879,Pence to visit two Michigan cities before Trump campaign rally https://t.co/LET865m6Gl
0.27665,6302,Pence to visit two Michigan cities before Trump campaign rally https://t.co/kf76Z5vcTF
0.27665,9420,Pence to visit two Michigan cities before Trump campaign rally https://t.co/THhksnVPWv
0.43260999999999994,60,"RT @DanKEberhart: New polls are showing President Trump leading in Wisconsin, Michigan, and Pennsylvania. States that used to be part of th…"
0.9451799999999999,4892,"RT @GeraldoRivera: Polls in key swing states, Michigan, Pennsylvania &amp; Wisconsin show @realDonaldTrump crushing any &amp; all Democratic presid…"
0,3044,"More 2019 @NSMASportsMedia awards finalists.

Michigan Sportscaster:
@Dan_Dickerson
@JackEbling
@Jamie_Edmonds… https://t.co/dfpwleZ2vc"
